# symbol->address linker-facts table (bead evm-asm-4ch8f.6, wave .9.3)
# Regenerate: scripts/gen-symbol-addresses.py --build
# columns: unit	symbol	address	section	stability
# STABLE addresses are pinned by codegen/linker flags; LINK_DEPENDENT
# addresses move on any .text/.data size change and MUST be read from the ELF.
stateless_guest	bal_account_has_state_change	0x8000d5d8	.text	LINK_DEPENDENT
stateless_guest	bal_account_path	0x8000d69c	.text	LINK_DEPENDENT
stateless_guest	bal_account_post_fields	0x8000d714	.text	LINK_DEPENDENT
stateless_guest	baap_delete_single_leaf_storage	0x8000d988	.text	LINK_DEPENDENT
stateless_guest	bal_account_apply_post_fields	0x8000dbac	.text	LINK_DEPENDENT
stateless_guest	bal_account_change_value	0x8000e694	.text	LINK_DEPENDENT
stateless_guest	bal_account_change_descriptor	0x8000e76c	.text	LINK_DEPENDENT
stateless_guest	bal_account_access_outcome_descriptors	0x8000e89c	.text	LINK_DEPENDENT
stateless_guest	bal_storage_access_outcome_descriptors	0x8000ea50	.text	LINK_DEPENDENT
stateless_guest	bal_account_record_array	0x8000ec44	.text	LINK_DEPENDENT
stateless_guest	bal_account_is_modeled_system	0x8000eeb4	.text	LINK_DEPENDENT
stateless_guest	bsr_sys_change	0x8000ef7c	.text	LINK_DEPENDENT
stateless_guest	bsr_beacon_change	0x8000f130	.text	LINK_DEPENDENT
stateless_guest	bsr_apply_modeled_system_post_fields	0x8000f7e4	.text	LINK_DEPENDENT
stateless_guest	capture_system_storage_exec_rows	0x8000f954	.text	LINK_DEPENDENT
stateless_guest	append_modeled_system_storage_tuple_rows	0x8000fb4c	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_sort_changes	0x8000fd34	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_prepare_changes	0x8000ff14	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_capture_branch_refs	0x8000fff8	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_resolve_witness	0x800100d4	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_classify_node	0x80010168	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_open_root_frame	0x80010224	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_open_child_frame	0x800102d4	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_invalidate_constructed_cache	0x800103b8	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_snapshot_constructed_child	0x800103f4	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_open_constructed_child_frame	0x80010524	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_node_ref	0x80010648	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_encode_branch	0x800106f8	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_encode_leaf_ref	0x80010874	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_decode_extension	0x8001094c	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_decode_leaf	0x80010adc	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_decode_frame_payload	0x80010c78	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_frame_path_match	0x80010d28	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_interval_old_prefix	0x80010d90	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_split_leaf_group	0x80010e2c	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_split_leaf	0x80011290	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_split_extension	0x80011528	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_split_extension_group	0x80011880	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_collapse_branch_leaf	0x80011c10	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_rebuild_exact_leaf	0x80011e30	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_build_missing_subtree	0x80011f4c	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_rebuild_subtree	0x800121e4	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_extension_merge_probe	0x800123f0	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_encode_extension	0x80012704	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_state_root	0x80012818	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_storage_root	0x80012838	.text	LINK_DEPENDENT
stateless_guest	mpt_bounded_partition_frame	0x80012ab4	.text	LINK_DEPENDENT
stateless_guest	block_state_root	0x80012b98	.text	LINK_DEPENDENT
stateless_guest	codes_blockhash_required_headers	0x80013664	.text	LINK_DEPENDENT
stateless_guest	chain_config_valid	0x800137c4	.text	LINK_DEPENDENT
stateless_guest	public_keys_valid	0x80013994	.text	LINK_DEPENDENT
stateless_guest	receipt_records_init	0x80013b00	.text	LINK_DEPENDENT
stateless_guest	receipt_records_clear	0x80013b14	.text	LINK_DEPENDENT
stateless_guest	receipt_records_append	0x80013b20	.text	LINK_DEPENDENT
stateless_guest	receipt_records_append_runtime_result	0x80013b70	.text	LINK_DEPENDENT
stateless_guest	receipt_record_nth	0x80013b90	.text	LINK_DEPENDENT
stateless_guest	block_receipt_records_materialize	0x80013bf4	.text	LINK_DEPENDENT
stateless_guest	block_log_window_snapshot	0x80013e9c	.text	LINK_DEPENDENT
stateless_guest	block_receipt_logs_materialize	0x800140f0	.text	LINK_DEPENDENT
stateless_guest	log_records_encode_rlp	0x800142a4	.text	LINK_DEPENDENT
stateless_guest	bloom_add_value	0x800146b0	.text	LINK_DEPENDENT
stateless_guest	log_bloom_add	0x80014764	.text	LINK_DEPENDENT
